Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes
3045160_421	97.65	2.79	Gradient Boost (General Model)	11	0.899	125725	287.25494505494504	1740059	0.45	1820	None
2202732_9	97.17	4.17	Neural Network (Specific Model)	11	0.911	21715	239.9373970345964	1435948	0.3	1821	None
1714258_3	90.05	0.06	Neural Network (Specific Model)	11	0.853	98570	241.8597502401537	1760081	0.61	2082	None
2020860_61	99.92	1.06	Neural Network (Specific Model)	11	0.894	590720	275.3218197135636	2180697	0.46	2374	None
94694_5	99.45	0.14	Neural Network (Specific Model)	11	0.892	26831	279.3943870014771	1268528	0.45	1354	None
2026714_364	87.52	2.1	Gradient Boost (General Model)	11	0.914	187909	277.3497571131159	1308518	0.43	1441	None
1132505_7	99.71	0.96	Neural Network (Specific Model)	11	0.874	1776831	255.7345419229524	2694762	0.35	3089	None
555311_12	100.0	1.6	Neural Network (Specific Model)	11	0.865	24718	248.70368	2680466	0.35	3125	None
2852089_5	92.98	0.23	Neural Network (Specific Model)	11	0.896	17139	233.86896551724135	1359568	0.33	1740	None
399549_24	99.98	0.7	Neural Network (Specific Model)	11	0.89	2190631	272.0886761032473	2190631	0.46	2402	None
2599821_17	75.63	0.99	Gradient Boost (General Model)	11	0.94	6204	248.79794268919912	1078181	0.52	1361	None
2599821_28	89.62	0.28	Gradient Boost (General Model)	11	0.925	11548	274.7684977578475	1585234	0.44	1784	None
2026764_32	91.95	0.52	Gradient Boost (General Model)	11	0.928	14692	250.38545454545454	664916	0.3	825	None
2093792_57	92.96	0.01	Gradient Boost (General Model)	11	0.935	15022	254.43002915451896	557628	0.46	686	None
2250274_361	87.34	0.57	Gradient Boost (General Model)	11	0.947	17309	264.3262411347518	703505	0.5	846	None
2250274_376	88.94	0.27	Gradient Boost (General Model)	11	0.946	11207	267.589552238806	678943	0.43	804	None
2026736_90	97.76	0.12	Gradient Boost (General Model)	11	0.919	36798	271.7049773755656	976286	0.44	1105	None
2250274_771	70.23	0.54	Neural Network (Specific Model)	11	0.901	6262	262.0056433408578	771300	0.58	886	None
1803513_5	87.46	1.62	Gradient Boost (General Model)	11	0.793	9064	268.70543175487467	1456468	0.33	1436	None
2250274_89	83.04	0.65	Gradient Boost (General Model)	11	0.882	11948	294.5228658536585	655542	0.33	656	None
2026739_687	99.97	0.3	Neural Network (Specific Model)	11	0.729	126496	291.1076093128904	4212843	0.4	3522	None
2026739_333	87.26	2.73	Gradient Boost (General Model)	11	0.911	19782	285.7218340611354	2149721	0.68	2290	None
1765056_4	99.63	0.88	Neural Network (Specific Model)	11	0.87	3047371	290.0523047528063	4184591	0.62	4187	None
2026739_544	93.94	2.31	Gradient Boost (General Model)	11	0.948	35975	342.2742647058824	1470536	0.38	1360	None
2026739_441	95.5	0.5	Neural Network (Specific Model)	11	0.773	80133	304.463997416855	3653553	0.46	3097	None
2026739_744	90.66	0.27	Neural Network (Specific Model)	11	0.95	38047	283.966814159292	1208994	0.7	1356	None
1635285_4	85.88	0.08	Neural Network (Specific Model)	11	0.911	57160	283.2214234363767	1293648	0.56	1391	None
2026739_361	90.68	1.0	Neural Network (Specific Model)	11	0.897	14117	299.51752708731675	1567955	0.54	1569	None
2026739_456	97.3	0.18	Neural Network (Specific Model)	11	0.832	15826	247.43647363872083	2059236	0.35	2314	None
2026739_986	92.31	0.42	Gradient Boost (General Model)	11	0.895	12757	273.82577030812325	1633162	0.61	1785	None
2053491_86	96.37	3.6	Gradient Boost (General Model)	11	0.891	37304	297.7823869432166	2944246	0.45	2941	None
2053489_56	97.72	3.68	Gradient Boost (General Model)	11	0.879	136887	324.24602953468934	3966622	0.35	3589	None
3061966_7	86.01	4.57	Gradient Boost (General Model)	11	0.883	12112	292.8114716636197	4346456	0.31	4376	None
3045163_7	86.0	0.0	Gradient Boost (General Model)	11	0.921	24088	254.01186943620178	834426	0.56	1011	None
2053489_142	87.95	3.86	Gradient Boost (General Model)	11	0.873	15834	292.4195760598504	3219989	0.32	3208	None
2026747_195	93.92	0.41	Gradient Boost (General Model)	11	0.906	129183	316.84755700325735	1607935	0.3	1535	None
2026747_106	85.49	2.97	Gradient Boost (General Model)	11	0.914	13723	299.01340250756596	2266433	0.33	2313	None
2053489_225	94.79	1.79	Gradient Boost (General Model)	11	0.863	19793	299.8416608022519	2954021	0.59	2842	None
2026747_124	90.28	4.5	Gradient Boost (General Model)	11	0.886	13812	295.3200110253583	3621793	0.33	3628	None
3061966_12	86.01	4.57	Gradient Boost (General Model)	11	0.883	12112	292.8114716636197	4346456	0.31	4376	None
